종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"US12769G1004","CAESARS ENTERTAINMENT INC","3.10",,,
"US1331311027","CAMDEN PROPERTY TRUST","1.50",,,
"US1344291091","CAMPBELL SOUP CO","2.80",,,
"US14040H1059","CAPITAL ONE FINANCIAL CORP","5.60",,,
"US14149Y1082","CARDINAL HEALTH INC","3.50",,,
"US1431301027","CARMAX INC","2.30",,,
"PA1436583006","CARNIVAL CORP","14.80",,,
"US14448C1045","CARRIER GLOBAL CORP","12.30",,,
"US1488061029","CATALENT INC","2.60",,,
"US1491231015","CATERPILLAR INC","7.10",,,
"US12503M1080","CBOE GLOBAL MARKETS INC","1.50",,,
"US12504L1098","CBRE GROUP INC - A","4.40",,,
"US12514G1085","CDW CORP/DE","1.90",,,
"US1508701034","CELANESE CORP","1.40",,,
"US03073E1055","CENCORA INC","2.40",,,
"US15135B1017","CENTENE CORP","7.80",,,
"US15189T1079","CENTERPOINT ENERGY INC","9.40",,,
"US1252691001","CF INDUSTRIES HOLDINGS INC","2.60",,,
"US1598641074","CHARLES RIVER LABORATORIES","0.70",,,
"US16119P1084","CHARTER COMMUNICATIONS INC-A","1.40",,,
"US1667641005","CHEVRON CORP","25.20",,,
"US1696561059","CHIPOTLE MEXICAN GRILL INC","20.00",,,
"CH0044328745","CHUBB LTD","5.90",,,
"US1713401024","CHURCH & DWIGHT CO INC","3.50",,,
"US1720621010","CINCINNATI FINANCIAL CORP","2.30",,,
"US1729081059","CINTAS CORP","1.20",,,
"US17275R1023","CISCO SYSTEMS INC","59.50",,,
"US1729674242","CITIGROUP INC","28.00",,,
"US1746101054","CITIZENS FINANCIAL GROUP","6.60",,,
"US1890541097","CLOROX COMPANY","1.80",,,
"US12572Q1058","CME GROUP INC","5.20",,,
"US1258961002","CMS ENERGY CORP","4.30",,,
"US1912161007","COCA-COLA CO/THE","57.00",,,
"US1924461023","COGNIZANT TECH SOLUTIONS-A","7.30",,,
"US1941621039","COLGATE-PALMOLIVE CO","12.00",,,
"US20030N1019","COMCAST CORP-CLASS A","57.50",,,
"US2058871029","CONAGRA BRANDS INC","7.00",,,
"US20825C1045","CONOCOPHILLIPS","17.20",,,
"US2091151041","CONSOLIDATED EDISON INC","5.00",,,
"US21036P1084","CONSTELLATION BRANDS INC-A","2.30",,,
"US21037T1097","CONSTELLATION ENERGY","4.60",,,
"US2166485019","COOPER COS INC/THE","2.90",,,
"US2172041061","COPART INC","12.80",,,
"US2193501051","CORNING INC","11.30",,,
"US2199481068","CORPAY INC","1.00",,,
"US22052L1044","CORTEVA INC","10.20",,,
"US22160N1090","COSTAR GROUP INC","6.00",,,
"US22160K1051","COSTCO WHOLESALE CORP","6.50",,,
"US1270971039","COTERRA ENERGY INC","10.90",,,
"US22788C1053","CROWDSTRIKE HOLDINGS INC - A","3.30",,,
"US22822V1017","CROWN CASTLE INC","6.30",,,
"US1264081035","CSX CORP","28.70",,,
"US2310211063","CUMMINS INC","2.00",,,
"US1266501006","CVS HEALTH CORP","18.40",,,
"US2358511028","DANAHER CORP","9.60",,,
"US2371941053","DARDEN RESTAURANTS INC","1.70",,,
"US23918K1088","DAVITA INC","0.70",,,
"US15677J1088","DAYFORCE INC","2.30",,,
"US2435371073","DECKERS OUTDOOR CORP","0.30",,,
"US2441991054","DEERE & CO","3.80",,,
"US2473617023","DELTA AIR LINES INC","9.40",,,
"US25179M1036","DEVON ENERGY CORP","9.20",,,
"US2521311074","DEXCOM INC","5.80",,,
"US25278X1090","DIAMONDBACK ENERGY INC","2.60",,,
"US2538681030","DIGITAL REALTY TRUST INC","4.70",,,
"US2547091080","DISCOVER FINANCIAL SERVICES","3.60",,,
"US2566771059","DOLLAR GENERAL CORP","3.20",,,
"US2567461080","DOLLAR TREE INC","3.00",,,
"US25746U1097","DOMINION ENERGY INC","12.30",,,
"US25754A2015","DOMINOS PIZZA INC","0.50",,,
"US2600031080","DOVER CORP","2.00",,,
"US2605571031","DOW INC","10.30",,,
"US23331A1097","DR HORTON INC","4.30",,,
"US2333311072","DTE ENERGY COMPANY","3.00",,,
"US26441C2044","DUKE ENERGY CORP","11.30",,,
"US26614N1028","DUPONT DE NEMOURS INC","6.10",,,
"US2774321002","EASTMAN CHEMICAL CO","1.70",,,
"IE00B8KQN827","EATON CORP PLC","5.80",,,
"US2786421030","EBAY INC","7.40",,,
"US2788651006","ECOLAB INC","3.70",,,
"US2810201077","EDISON INTERNATIONAL","5.60",,,
"US28176E1082","EDWARDS LIFESCIENCES CORP","8.80",,,
"US2855121099","ELECTRONIC ARTS INC","3.50",,,
"US0367521038","ELEVANCE HEALTH INC","3.40",,,
"US5324571083","ELI LILLY & CO","11.70",,,
"US2910111044","EMERSON ELECTRIC CO","8.40",,,
"US29355A1079","ENPHASE ENERGY INC","2.00",,,
"US29364G1031","ENTERGY CORP","3.10",,,
"US26875P1012","EOG RESOURCES INC","8.40",,,
"US29414B1044","EPAM SYSTEMS INC","0.80",,,
"US26884L1098","EQT CORP","6.40",,,
"US2944291051","EQUIFAX INC","1.80",,,
"US29444U7000","EQUINIX INC","1.30",,,
"US29476L1070","EQUITY RESIDENTIAL","5.00",,,
"US2971781057","ESSEX PROPERTY TRUST INC","0.90",,,
"US5184391044","ESTEE LAUDER COMPANIES-CL A","3.40",,,
"US29786A1060","ETSY INC","1.70",,,
"BMG3223R1088","EVEREST GROUP LTD","0.60",,,
"US30034W1062","EVERGY INC","3.30",,,
"US30040W1080","EVERSOURCE ENERGY","5.10",,,
"US30161N1019","EXELON CORP","14.70",,,
"US30212P3038","EXPEDIA GROUP INC","1.80",,,
"US3021301094","EXPEDITORS INTL WASH INC","2.00",,,
"US30225T1025","EXTRA SPACE STORAGE INC","3.10",,,
"US30231G1022","EXXON MOBIL CORP","65.90",,,
"US3156161024","F5 INC","0.80",,,
"US3030751057","FACTSET RESEARCH SYSTEMS INC","0.50",,,
"US3032501047","FAIR ISAAC CORP","0.30",,,
"US3119001044","FASTENAL CO","8.40",,,
"US3137451015","FEDERAL REALTY INVS TRUST","1.00",,,
"US31428X1063","FEDEX CORP","3.30",,,
"US31620M1062","FIDELITY NATIONAL INFO SERV","8.10",,,
"US3167731005","FIFTH THIRD BANCORP","10.00",,,
"US3364331070","FIRST SOLAR INC","1.50",,,
"US3379321074","FIRSTENERGY CORP","7.60",,,
"US3377381088","FISERV INC","8.60",,,
"US3024913036","FMC CORP","1.80",,,
"US3453708600","FORD MOTOR CO","57.60",,,
"US34959E1091","FORTINET INC","9.30",,,
"US34959J1088","FORTIVE CORP","5.10",,,
"US35137L1052","FOX CORP - CLASS A","3.40",,,
"US35137L2043","FOX CORP - CLASS B","1.90",,,
"US3546131018","FRANKLIN RESOURCES INC","4.40",,,
"US35671D8570","FREEPORT-MCMORAN INC","21.10",,,
"CH0114405324","GARMIN LTD","2.20",,,
"US3666511072","GARTNER INC","1.10",,,
"US36266G1076","GE HEALTHCARE TECHNOLOGY","6.20",,,
"US36828A1016","GE VERNOVA INC","4.00",,,
"US6687711084","GEN DIGITAL INC","8.10",,,
"US3687361044","GENERAC HOLDINGS INC","0.80",,,
"US3695501086","GENERAL DYNAMICS CORP","3.30",,,
"US3696043013","GENERAL ELECTRIC CO","16.10",,,
"US3703341046","GENERAL MILLS INC","8.30",,,
"US37045V1008","GENERAL MOTORS CO","16.70",,,
"US3724601055","GENUINE PARTS CO","2.00",,,
"US3755581036","GILEAD SCIENCES INC","18.30",,,
"US37940X1028","GLOBAL PAYMENTS INC","3.70",,,
"US37959E1029","GLOBE LIFE INC","1.20",,,
"US3802371076","GODADDY INC - CLASS A","2.00",,,
"US38141G1040","GOLDMAN SACHS GROUP INC","4.70",,,
"US4062161017","HALLIBURTON CO","13.00",,,
"US4165151048","HARTFORD FINANCIAL SVCS GRP","4.30",,,
"US4180561072","HASBRO INC","1.90",,,
"US40412C1018","HCA HEALTHCARE INC","2.80",,,
"US42250P1030","HEALTHPEAK PROPERTIES INC","10.30",,,
"US8064071025","HENRY SCHEIN INC","1.80",,,
"US4278661081","HERSHEY CO/THE","2.10",,,
"US42809H1077","HESS CORP","4.00",,,
"US42824C1099","HEWLETT PACKARD ENTERPRISE","19.10",,,
"US43300A2033","HILTON WORLDWIDE HOLDINGS IN","3.60",,,
"US4364401012","HOLOGIC INC","3.40",,,
"US4370761029","HOME DEPOT INC","14.50",,,
"US4385161066","HONEYWELL INTERNATIONAL INC","9.50",,,
"US4404521001","HORMEL FOODS CORP","4.20",,,
"US44107P1049","HOST HOTELS & RESORTS INC","10.30",,,
"US4432011082","HOWMET AEROSPACE INC","5.70",,,
"US40434L1052","HP INC","12.60",,,
"US4435106079","HUBBELL INC","0.70",,,
"US4448591028","HUMANA INC","1.70",,,
"US4456581077","HUNT (JB) TRANSPRT SVCS INC","1.10",,,
"US4461501045","HUNTINGTON BANCSHARES INC","21.30",,,
"US4464131063","HUNTINGTON INGALLS INDUSTRIE","0.50",,,
"US45167R1041","IDEX CORP","1.10",,,
"US45168D1046","IDEXX LABORATORIES INC","1.20",,,
"US4523081093","ILLINOIS TOOL WORKS","3.90",,,
"US45337C1027","INCYTE CORP","2.70",,,
"US45687V1061","INGERSOLL-RAND INC","5.90",,,
"US45784P1012","INSULET CORP","1.00",,,
"US4581401001","INTEL CORP","62.60",,,
"US45866F1049","INTERCONTINENTAL EXCHANGE IN","8.40",,,
"US4601461035","INTERNATIONAL PAPER CO","5.10",,,
"US4606901001","INTERPUBLIC GROUP OF COS INC","5.50",,,
"US4592001014","INTL BUSINESS MACHINES CORP","13.50",,,
"US4595061015","INTL FLAVORS & FRAGRANCES","3.70",,,
"US4612021034","INTUIT INC","4.10",,,
"US46120E6023","INTUITIVE SURGICAL INC","5.20",,,
"BMG491BT1088","INVESCO LTD","6.60",,,
"US46187W1071","INVITATION HOMES INC","8.40",,,
"US46266C1053","IQVIA HOLDINGS INC","2.60",,,
"US46284V1017","IRON MOUNTAIN INC","4.30",,,
"US4663131039","JABIL INC","1.70",,,
"US4262811015","JACK HENRY & ASSOCIATES INC","1.00",,,
"US46982L1089","JACOBS SOLUTIONS INC","1.80",,,
"US8326964058","JM SMUCKER CO/THE","1.50",,,
"US4781601046","JOHNSON & JOHNSON","35.40",,,
"IE00BY7QL619","JOHNSON CONTROLS INTERNATION","9.90",,,
"US46625H1005","JPMORGAN CHASE & CO","42.20",,,
"US48203R1041","JUNIPER NETWORKS INC","4.70",,,
"US4878361082","KELLANOVA","3.80",,,
"US49177J1025","KENVUE INC","28.10",,,
"US49271V1008","KEURIG DR PEPPER INC","15.30",,,
"US4932671088","KEYCORP","13.80",,,
"US49338L1035","KEYSIGHT TECHNOLOGIES IN","2.50",,,
"US4943681035","KIMBERLY-CLARK CORP","4.90",,,
"US49446R1095","KIMCO REALTY CORP","9.80",,,
"US49456B1017","KINDER MORGAN INC","28.40",,,
"US48251W1045","KKR & CO INC","9.70",,,
"US4824801009","KLA CORP","1.90",,,
"US5007541064","KRAFT HEINZ CO/THE","11.60",,,
"US5010441013","KROGER CO","9.80",,,
"US5024311095","L3HARRIS TECHNOLOGIES INC","2.70",,,
"US5049221055","LABCORP HOLDINGS INC","1.20",,,
"US5128071082","LAM RESEARCH CORP","1.90",,,
"US5132721045","LAMB WESTON HOLDINGS INC","2.10",,,
"US5178341070","LAS VEGAS SANDS CORP","5.30",,,
"US5253271028","LEIDOS HOLDINGS INC","1.90",,,
"US5260571048","LENNAR CORP-A","3.60",,,
"IE000S9YS762","LINDE PLC","7.00",,,
"US5380341090","LIVE NATION ENTERTAINMENT IN","2.00",,,
"US5018892084","LKQ CORP","3.90",,,
"US5398301094","LOCKHEED MARTIN CORP","3.10",,,
"US5404241086","LOEWS CORP","2.60",,,
"US5486611073","LOWES COS INC","8.40",,,
"US5500211090","LULULEMON ATHLETICA INC","1.60",,,
"NL0009434992","LYONDELLBASELL INDU-CL A","3.70",,,
"US55261F1049","M & T BANK CORP","2.40",,,
"US5658491064","MARATHON OIL CORP","8.20",,,
"US56585A1025","MARATHON PETROLEUM CORP","5.10",,,
"US57060D1081","MARKETAXESS HOLDINGS INC","0.50",,,
"US5719032022","MARRIOTT INTERNATIONAL -CL A","3.50",,,
"US5717481023","MARSH & MCLENNAN COS","7.20",,,
"US5732841060","MARTIN MARIETTA MATERIALS","0.90",,,
"US5745991068","MASCO CORP","3.20",,,
"US57636Q1040","MASTERCARD INC - A","12.00",,,
"US57667L1070","MATCH GROUP INC","3.90",,,
"US5797802064","MCCORMICK & CO-NON VTG SHRS","3.70",,,
"US5801351017","MCDONALDS CORP","10.60",,,
"US58155Q1031","MCKESSON CORP","1.90",,,
"IE00BTN1Y115","MEDTRONIC PLC","19.50",,,
"US58933Y1055","MERCK & CO. INC.","37.20",,,
"US30303M1027","META PLATFORMS INC-CLASS A","32.20",,,
"US59156R1086","METLIFE INC","8.70",,,
"US5926881054","METTLER-TOLEDO INTERNATIONAL","0.30",,,
"US5529531015","MGM RESORTS INTERNATIONAL","3.60",,,
"US5950171042","MICROCHIP TECHNOLOGY INC","7.90",,,
"US5951121038","MICRON TECHNOLOGY INC","16.20",,,
"US5949181045","MICROSOFT CORP","109.30",,,
"US59522J1034","MID-AMERICA APARTMENT COMM","1.70",,,
"US60770K1079","MODERNA INC","4.90",,,
"US6081901042","MOHAWK INDUSTRIES INC","0.70",,,
"US60855R1005","MOLINA HEALTHCARE INC","0.80",,,
"US60871R2094","MOLSON COORS BEVERAGE CO - B","2.60",,,
"US6092071058","MONDELEZ INTERNATIONAL INC-A","19.70",,,
"US6098391054","MONOLITHIC POWER SYSTEMS INC","0.70",,,
"US61174X1090","MONSTER BEVERAGE CORP","10.40",,,
"US6153691059","MOODYS CORP","2.30",,,
"US6174464486","MORGAN STANLEY","18.40",,,
"US61945C1036","MOSAIC CO/THE","4.70",,,
"US6200763075","MOTOROLA SOLUTIONS INC","2.40",,,
"US55354G1004","MSCI INC","1.10",,,
"US6311031081","NASDAQ INC","5.50",,,
"US64110D1046","NETAPP INC","3.00",,,
"US64110L1061","NETFLIX INC","6.30",,,
"US6516391066","NEWMONT CORP","16.90",,,
"US65249B1098","NEWS CORP - CLASS A","5.50",,,
"US65249B2088","NEWS CORP - CLASS B","1.60",,,
"US65339F1012","NEXTERA ENERGY INC","30.20",,,
"US6541061031","NIKE INC -CL B","17.80",,,
"US65473P1057","NISOURCE INC","6.50",,,
"US6556631025","NORDSON CORP","0.70",,,
"US6558441084","NORFOLK SOUTHERN CORP","3.30",,,
"US6658591044","NORTHERN TRUST CORP","3.00",,,
"US6668071029","NORTHROP GRUMMAN CORP","2.00",,,
"BMG667211046","NORWEGIAN CRUISE LINE HOLDIN","6.30",,,
"US6293775085","NRG ENERGY INC","3.00",,,
"US6703461052","NUCOR CORP","3.50",,,
"US67066G1040","NVIDIA CORP","361.80",,,
"NL0009538784","NXP SEMICONDUCTORS NV","3.70",,,
"US6745991058","OCCIDENTAL PETROLEUM CORP","9.70",,,
"US6795801009","OLD DOMINION FREIGHT LINE","2.60",,,
"US6819191064","OMNICOM GROUP","2.80",,,
"US6821891057","ON SEMICONDUCTOR","6.30",,,
"US6826801036","ONEOK INC","8.50",,,
"US68389X1054","ORACLE CORP","23.40",,,
"US67103H1077","OREILLY AUTOMOTIVE INC","0.80",,,
"US68902V1070","OTIS WORLDWIDE CORP","5.90",,,
"US69331C1080","P G & E CORP","31.40",,,
"US6937181088","PACCAR INC","7.70",,,
"US6951561090","PACKAGING CORP OF AMERICA","1.30",,,
"US6974351057","PALO ALTO NETWORKS INC","4.70",,,
"US92556H2067","PARAMOUNT GLOBAL-CLASS B","7.20",,,
"US7010941042","PARKER HANNIFIN CORP","1.80",,,
"US7043261079","PAYCHEX INC","4.70",,,
"US70432V1026","PAYCOM SOFTWARE INC","0.70",,,
"US70450Y1038","PAYPAL HOLDINGS INC","15.30",,,
"IE00BLS09M33","PENTAIR PLC","2.40",,,
"US7134481081","PEPSICO INC","20.20",,,
"US7170811035","PFIZER INC","83.30",,,
"US7181721090","PHILIP MORRIS INTERNATIONAL","22.80",,,
"US7185461040","PHILLIPS 66","6.20",,,
"US7234841010","PINNACLE WEST CAPITAL","1.60",,,
"US6934751057","PNC FINANCIAL SERVICES GROUP","5.80",,,
"US73278L1052","POOL CORP","0.50",,,
"US6935061076","PPG INDUSTRIES INC","3.40",,,
"US69351T1060","PPL CORP","10.80",,,
"US74251V1026","PRINCIPAL FINANCIAL GROUP","3.10",,,
"US7427181091","PROCTER & GAMBLE CO/THE","34.70",,,
"US7433151039","PROGRESSIVE CORP","8.60",,,
"US74340W1036","PROLOGIS INC","13.60",,,
"US7443201022","PRUDENTIAL FINANCIAL INC","5.20",,,
"US69370C1009","PTC INC","1.70",,,
"US7445731067","PUBLIC SERVICE ENTERPRISE GP","7.30",,,
"US74460D1090","PUBLIC STORAGE","2.30",,,
"US7458671010","PULTEGROUP INC","3.00",,,
"US74736K1016","QORVO INC","1.40",,,
"US7475251036","QUALCOMM INC","16.40",,,
"US74762E1029","QUANTA SERVICES INC","2.10",,,
"US74834L1008","QUEST DIAGNOSTICS INC","1.60",,,
"US7512121010","RALPH LAUREN CORP","0.50",,,
"US7547301090","RAYMOND JAMES FINANCIAL INC","2.70",,,
"US7561091049","REALTY INCOME CORP","12.80",,,
"US7588491032","REGENCY CENTERS CORP","2.40",,,
"US75886F1075","REGENERON PHARMACEUTICALS","1.50",,,
"US7591EP1005","REGIONS FINANCIAL CORP","13.40",,,
"US7607591002","REPUBLIC SERVICES INC","3.00",,,
"US7611521078","RESMED INC","2.10",,,
"US7140461093","REVVITY INC","1.80",,,
"US7739031091","ROCKWELL AUTOMATION INC","1.60",,,
"US7757111049","ROLLINS INC","4.10",,,
"US7766961061","ROPER TECHNOLOGIES INC","1.50",,,
"US7782961038","ROSS STORES INC","4.90",,,
"LR0008862868","ROYAL CARIBBEAN CRUISES LTD","3.40",,,
"US75513E1010","RTX CORP","19.50",,,
"US78409V1044","S&P GLOBAL INC","4.70",,,
"US79466L3024","SALESFORCE INC","14.20",,,
"US78410G1040","SBA COMMUNICATIONS CORP","1.50",,,
"AN8068571086","SCHLUMBERGER LTD","21.00",,,
"US8085131055","SCHWAB (CHARLES) CORP","21.90",,,
"IE00BKVD2N49","SEAGATE TECHNOLOGY HOLDINGS","2.80",,,
"US8168511090","SEMPRA","9.30",,,
"US81762P1021","SERVICENOW INC","3.00",,,
"US8243481061","SHERWIN-WILLIAMS CO/THE","3.40",,,
"US8288061091","SIMON PROPERTY GROUP INC","4.70",,,
"US83088M1027","SKYWORKS SOLUTIONS INC","2.30",,,
"US8318652091","SMITH (A.O.) CORP","1.70",,,
"IE00028FXN24","SMURFIT WESTROCK PLC","7.60",,,
"US8330341012","SNAP-ON INC","0.70",,,
"US83444M1018","SOLVENTUM CORP","2.00",,,
"US8425871071","SOUTHERN CO/THE","16.00",,,
"US8447411088","SOUTHWEST AIRLINES CO","8.80",,,
"US8545021011","STANLEY BLACK & DECKER INC","2.20",,,
"US8552441094","STARBUCKS CORP","16.60",,,
"US8574771031","STATE STREET CORP","4.40",,,
"US8581191009","STEEL DYNAMICS INC","2.10",,,
"IE00BFY8C754","STERIS PLC","1.40",,,
"US8636671013","STRYKER CORP","4.90",,,
"US86800U1043","SUPER MICRO COMPUTER INC","0.70",,,
"US87165B1035","SYNCHRONY FINANCIAL","5.90",,,
"US8716071076","SYNOPSYS INC","2.20",,,
"US8718291078","SYSCO CORP","7.30",,,
"US74144T1088","T ROWE PRICE GROUP INC","3.20",,,
"US8725901040","T-MOBILE US INC","7.50",,,
"US8740541094","TAKE-TWO INTERACTIVE SOFTWRE","2.30",,,
"US8760301072","TAPESTRY INC","3.30",,,
"US87612G1013","TARGA RESOURCES CORP","3.20",,,
"US87612E1064","TARGET CORP","6.80",,,
"CH0102993182","TE CONNECTIVITY LTD","4.50",,,
"US8793601050","TELEDYNE TECHNOLOGIES INC","0.60",,,
"US8793691069","TELEFLEX INC","0.60",,,
"US8807701029","TERADYNE INC","2.20",,,
"US88160R1014","TESLA INC","40.80",,,
"US8825081040","TEXAS INSTRUMENTS INC","13.30",,,
"US8832031012","TEXTRON INC","2.80",,,
"US1255231003","THE CIGNA GROUP","4.10",,,
"US8835561023","THERMO FISHER SCIENTIFIC INC","5.60",,,
"US8725401090","TJX COMPANIES INC","16.60",,,
"US8923561067","TRACTOR SUPPLY COMPANY","1.50",,,
"IE00BK9ZQ967","TRANE TECHNOLOGIES PLC","3.30",,,
"US8936411003","TRANSDIGM GROUP INC","0.80",,,
"US89417E1091","TRAVELERS COS INC/THE","3.30",,,
"US8962391004","TRIMBLE INC","3.50",,,
"US89832Q1094","TRUIST FINANCIAL CORP","19.60",,,
"US9022521051","TYLER TECHNOLOGIES INC","0.60",,,
"US9024941034","TYSON FOODS INC-CL A","4.20",,,
"US90353T1007","UBER TECHNOLOGIES INC","30.70",,,
"US9026531049","UDR INC","4.40",,,
"US90384S3031","ULTA BEAUTY INC","0.70",,,
"US9078181081","UNION PACIFIC CORP","8.90",,,
"US9100471096","UNITED AIRLINES HOLDINGS INC","4.80",,,
"US9113121068","UNITED PARCEL SERVICE-CL B","10.70",,,
"US9113631090","UNITED RENTALS INC","0.90",,,
"US91324P1021","UNITEDHEALTH GROUP INC","13.50",,,
"US9139031002","UNIVERSAL HEALTH SERVICES-B","0.80",,,
"US9029733048","US BANCORP","22.90",,,
"US91913Y1001","VALERO ENERGY CORP","4.80",,,
"US92276F1003","VENTAS INC","5.90",,,
"US92338C1036","VERALTO CORP","3.20",,,
"US92343E1029","VERISIGN INC","1.20",,,
"US92345Y1064","VERISK ANALYTICS INC","2.00",,,
"US92343V1044","VERIZON COMMUNICATIONS INC","61.90",,,
"US92532F1003","VERTEX PHARMACEUTICALS INC","3.70",,,
"US92556V1061","VIATRIS INC","17.50",,,
"US9256521090","VICI PROPERTIES INC","15.30",,,
"US92826C8394","VISA INC-CLASS A SHARES","23.10",,,
"US92840M1027","VISTRA CORP","4.80",,,
"US9291601097","VULCAN MATERIALS CO","1.90",,,
"US9297401088","WABTEC CORP","2.50",,,
"US9314271084","WALGREENS BOOTS ALLIANCE INC","10.50",,,
"US9311421039","WALMART INC","62.80",,,
"US2546871060","WALT DISNEY CO/THE","26.80",,,
"US9344231041","WARNER BROS DISCOVERY INC","32.80",,,
"US94106L1098","WASTE MANAGEMENT INC","5.30",,,
"US9418481035","WATERS CORP","0.80",,,
"US92939U1060","WEC ENERGY GROUP INC","4.60",,,
"US9497461015","WELLS FARGO & CO","51.20",,,
"US95040Q1040","WELLTOWER INC","8.70",,,
"US9553061055","WEST PHARMACEUTICAL SERVICES","1.00",,,
"US9581021055","WESTERN DIGITAL CORP","4.80",,,
"US9621661043","WEYERHAEUSER CO","10.70",,,
"US9694571004","WILLIAMS COS INC","17.90",,,
"IE00BDB6Q211","WILLIS TOWERS WATSON PLC","1.50",,,
"US0844231029","WR BERKLEY CORP","4.40",,,
"US3848021040","WW GRAINGER INC","0.60",,,
